Individual,ID,Trial Type,Trial Order,Audio File (if applicable),Location,Day of Trial,Conditions,Subject,Playback,Track,Start Time,End Time,Response,R1,R2,R3,R4,Visual ID,
SCAT101,SCAT101_AT,Con,1,230704_0011,San Pedro,7/4/2023,0,S. atratus,S. atratus,2A,6:18 AM,6:41 AM,Y,Y,Y,Y,NF,Y,
SCAT101,SCAT101_PA,Hetero,2,230706_0020,San Pedro,7/6/2023,0,S. atratus,S. parvirostris,2P,6:11 AM,6:44 AM,Y,Y,N,N,Y,N,
SCAT101,SCAT101_SCH,Hetero,3,230711_0049,San Pedro,7/11/2023,2,S. atratus,S. schulenbergi,1SC,6:10 AM,6:42 AM,Y,Y,Y,Y,Y,N,
SCAT102,SCAT102_PA,Hetero,1,230708_0030,San Pedro,7/8/2023,0,S. atratus,S. parvirostris,5P,6:18 AM,6:52 AM,Y,Y,Y,Y,N,N,
SCAT102,SCAT102_AT,Con,2,230709_0038,San Pedro,7/9/2023,75,S. atratus,S. atratus,3A,7:06 AM,7:37 AM,Y,Y,N,Y,Y,N,
SCAT102,SCAT102_SCHU,Hetero,3,230712_0054,San Pedro,7/12/2023,2,S. atratus,S. schulenbergi,1SC,6:10 AM,6:43 AM,Y,Y,N,N,N,N,
SCAT103,SCAT103_AT,Con,1,230704_0013,San Pedro,7/4/2023,0,S. atratus,S. atratus,4A,6:52 AM,7:17 AM,Y,Y,N,Y,NF,N,
SCAT103,SCAT103_PA,Hetero,2,230706_0022,San Pedro,7/6/2023,15,S. atratus,S. parvirostris,1P,6:53 AM,7:18 AM,N,N,N,N,NF,N,
SCAT103,SCAT103_SCHU,Hetero,3,230710_0044,San Pedro,7/10/2023,2,S. atratus,S. schulenbergi,2SC,6:41 AM,7:06 AM,N,N,N,N,NF,N,
SCAT104,SCAT104_AT,Con,1,230704_0014,San Pedro,7/4/2023,0,S. atratus,S. atratus,2A,8:38 AM,9:08 AM,Y,N,N,Y,N,N,
SCAT104,SCAT104_PA,Hetero,3,230707_0026,San Pedro,7/7/2023,0,S. atratus,S. parvirostris,1P,6:26 AM,6:59 AM,Y,Y,N,N,N,N,
SCAT104,SCAT104_SCHU,Hetero,4,230709_0040,San Pedro,7/9/2023,20,S. atratus,S. schulenbergi,4SC,8:36 AM,9:01 AM,N,N,N,N,NF,N,
SCAT117,SCAT117_AT,Con,1,230706_0024,San Pedro,7/6/2023,0,S. atratus,S. atratus,5A,8:15 AM,8:48 AM,Y,Y,Y,Y,Y,N,
SCAT117,SCAT117_PA,Hetero,2,230708_0032,San Pedro,7/8/2023,0,S. atratus,S. parvirostris,3P,9:01 AM,9:26 AM,N,N,N,N,NF,N,
SCAT117,SCAT117_SCHU,Hetero,3,230712_0056,San Pedro,7/12/2023,50,S. atratus,S. schulenbergi,2SC,8:32 AM,8:57 AM,N,N,N,N,N,N,
SCAT109,SCAT109_AT,Con,1,230708_0034,San Pedro,7/8/2023,75,S. atratus,S. atratus,5A,2:19 PM,2:50 PM,Y,Y,N,Y,Y,N,
SCAT109,SCAT109_PA,Hetero,2,230709_0042,San Pedro,7/9/2023,85,S. atratus,S. parvirostris,4P,1:57 PM,2:22 PM,N,N,N,N,NF,N,
SCAT109,SCAT109_SCHU,Hetero,3,230711_0053,San Pedro,7/11/2023,65,S. atratus,S. schulenbergi,3SC,1:39 PM,2:05 PM,N,N,N,N,NF,N,
SCAT115,SCAT115_SCHU,Hetero,3,230710_0048,San Pedro,7/10/2023,50,S. atratus,S. schulenbergi,3SC,2:33 PM,3:04 PM,Y,N,Y,N,N,N,
SCAT115,SCAT115_PA,Hetero,2,230707_0029,San Pedro,7/7/2023,75,S. atratus,S. parvirostris,5P,2:06 PM,2:33 PM,N,N,N,N,NF,N,
SCAT115,SCAT115_AT,Con,1,230706_0025,San Pedro,7/6/2023,75,S. atratus,S. atratus,6A,2:22 PM,2:56 PM,Y,Y,N,Y,Y,N,
SCAT119,SCAT119_AT,Con,1,Notes,San Pedro,7/9/2023,20,S. atratus,S. atratus,7A,6:07 AM,6:33 AM,Y,Y,N,Y,N,N,
SCAT119,SCAT119_PA,Hetero,2,Notes,San Pedro,7/10/2023,0,S. atratus,S. parvirostris,7P,6:33 AM,7:02 AM,N,N,N,N,N,N,
SCAT119,SCAT119_SCHU,Hetero,3,Notes,San Pedro,7/11/2023,25,S. atratus,S. schulenbergi,7SC,6:40 AM,7:10 AM,N,N,N,N,N,N,
SCAT120,SCAT120_PA,Hetero,2,230710_0043,San Pedro,7/10/2023,5,S. atratus,S. parvirostris,5P,6:13 AM,6:38 AM,N,N,N,N,NF,N,
SCAT120,SCAT120_AT,Con,1,Notes,San Pedro,7/9/2023,50,S. atratus,S. atratus,7A,6:54 AM,7:20 AM,Y,Y,Y,N,Y,N,
SCAT120,SCAT120_SCHU,Hetero,3,230711_0051,San Pedro,7/11/2023,2,S. atratus,S. schulenbergi,4SC,6:48 AM,7:20 AM,Y,Y,N,N,N,N,
SCYPA1,SCYPAR1_SI,Hetero,4,230725_0077,Wayqecha,7/25/2023,50,S. parvirostris,S. simonsi,5SI,9:10 AM,9:35 AM,N,N,N,N,NF,N,
SCYPA1,SCYPAR1_SCHU,Hetero,2,230721_0067,Wayqecha,7/21/2023,25,S. parvirostris,S. schulenbergi,1SC,9:15 AM,9:45 AM,Y,Y,N,N,N,Y,
SCYPA1,SCYPAR1_AT,Hetero,1,230720_0065,Wayqecha,7/20/2023,35,S. parvirostris,S. atratus,5A,9:11 AM,9:36 AM,Y,Y,N,N,N,N,
SCYPA1,SCYPAR1_PA,Con,3,230723_0071,Wayqecha,7/23/2023,20,S. parvirostris,S. parvirostris,1P,9:15 AM,9:46 AM,Y,Y,Y,Y,Y,N,
SCYPA2,SCYPAR2_AT,Hetero,2,230724_0075,Wayqecha,7/24/2023,5,S. parvirostris,S. atratus,5A,9:52 AM,10:24 AM,Y,N,Y,Y,N,N,
SCYPA2,SCYPAR2_SCHU,Hetero,3,230725_0078,Wayqecha,7/25/2023,60,S. parvirostris,S. schulenbergi,1SC,9:41 AM,10:16 AM,Y,N,N,Y,N,N,
SCYPA2,SCYPAR2_PA,Con,1,230723_0072,Wayqecha,7/23/2023,15,S. parvirostris,S. parvirostris,3P,9:54 AM,10:25 AM,Y,Y,N,Y,Y,N,
SCYPA4,SCYPAR4_SCHU,Hetero,3,230719_0060,Wayqecha,7/19/2023,70,S. parvirostris,S. schulenbergi,4SC,6:11 AM,6:35 AM,N,N,N,N,NF,N,
SCYPA4,SCYPAR4_AT,Hetero,2,Notes,Wayqecha,7/17/2023,10,S. parvirostris,S. atratus,5A,6:16 AM,6:49 AM,Y,Y,N,N,N,N,
SCYPA4,SCYPAR4_PA,Con,1,Notes,Wayqecha,7/16/2023,0,S. parvirostris,S. parvirostris,4P,6:12 AM,6:44 AM,Y,N,Y,N,Y,N,
SCYPA4,SCYPAR4_SI,Hetero,4,230720_0064,Wayqecha,7/20/2023,55,S. parvirostris,S. simonsi,3SI,6:19 AM,6:44 AM,N,N,N,N,NF,N,
SCYPA5,SCYPAR5_AT,Hetero,3,230718_0058,Wayqecha,7/18/2023,100,S. parvirostris,S. atratus,3A,8:04 AM,8:28 AM,N,N,N,N,NF,N,
SCYPA5,SCYPAR5_PA,Con,4,230719_0061,Wayqecha,7/19/2023,50,S. parvirostris,S. parvirostris,6P,8:04 AM,8:36 AM,Y,Y,N,Y,N,N,
SCYPA5,SCYPAR5_SCHU,Hetero,1,230716 Notes,Wayqecha,7/16/2023,0,S. parvirostris,S. schulenbergi,3SC,8:37 AM,9:01 AM,N,N,N,N,NF,N,
SCYPA5,SCYPAR5_SI,Hetero,2,230717 Notes,Wayqecha,7/17/2023,60,S. parvirostris,S. simonsi,6SI,8:43 AM,9:08 AM,N,N,N,N,NF,N,
SCYPA6,SCYPAR6_PA,Con,3,230718_0059,Wayqecha,7/18/2023,100,S. parvirostris,S. parvirostris,4P,8:48 AM,9:21 AM,Y,Y,Y,Y,N,N,
SCYPA6,SCYPAR6_SI,Hetero,4,230719_0062,Wayqecha,7/19/2023,95,S. parvirostris,S. simonsi,1SI,8:48 AM,9:13 AM,N,N,N,N,NF,N,
SCYPA6,SCYPAR6_AT,Hetero,1,Notes,Wayqecha,7/16/2023,0,S. parvirostris,S. atratus,6A,9:18 AM,9:45 AM,N,N,N,N,NF,N,
SCYPA6,SCYPAR6_SCHU,Hetero,2,Notes,Wayqecha,7/17/2023,40,S. parvirostris,S. schulenbergi,1SC,9:23 AM,9:51 AM,N,N,N,N,NF,N,
SCYPA14,SCYPAR14_SI,Hetero,4,230725_0076,Wayqecha,7/25/2023,55,S. parvirostris,S. simonsi,6SI,6:15 AM,6:47 AM,Y,N,Y,N,N,N,
SCYPA14,SCYPAR14_SCHU,Hetero,2,230723_0069,Wayqecha,7/23/2023,100,S. parvirostris,S. schulenbergi,3SC,6:12 AM,6:44 AM,N,N,N,N,N,N,
SCYPA14,SCYPAR14_AT,Hetero,3,230724_0073,Wayqecha,7/24/2023,0,S. parvirostris,S. atratus,6A,6:15 AM,6:45 AM,Y,N,Y,Y,N,N,
SCYPA14,SCYPAR14_PA,Con,1,230722_0068,Wayqecha,7/22/2023,0,S. parvirostris,S. parvirostris,3P,6:14 AM,6:48 AM,Y,Y,N,N,N,N,
SCYPA13,SCYPAR13_PA,Con,1,Notes,Wayqecha,7/20/2023,85,S. parvirostris,S. parvirostris,7P,9:10 AM,9:40 AM,Y,Y,Y,Y,Y,Y,
SCYPA13,SCYPAR13_SI,Hetero,2,Notes,Wayqecha,7/21/2023,0,S. parvirostris,S. simonsi,7SI,9:20 AM,9:50 AM,N,N,N,N,N,N,
SCYPA13,SCYPAR13_AT,Hetero,3,Notes,Wayqecha,7/23/2023,0,S. parvirostris,S. atratus,7A,9:24 AM,9:52 AM,N,N,N,N,N,N,
SCYPA13,SCYPAR13_SCHU,Hetero,4,Notes,Wayqecha,7/24/2023,0,S. parvirostris,S. schulenbergi,8SC,9:25 AM,9:46 AM,N,N,N,N,N,N,
SCYPA12,SCYPAR12_SCHU,Hetero,2,Notes,Wayqecha,7/21/2023,20,S. parvirostris,S. schulenbergi,7SC,9:10 AM,9:40 AM,N,N,N,N,N,N,
SCYPA12,SCYPAR12_PA,Con,1,Notes,Wayqecha,7/20/2023,70,S. parvirostris,S. parvirostris,7P,9:07 AM,9:31 AM,Y,Y,N,N,N,N,
SI101,SI101_SI,Con,1,230731_0079,Tres Cruces,7/31/2023,0,S. simonsi,S. simonsi,5SI,6:53 AM,7:26 AM,N,N,N,N,N,Y,
SI101,SI101_SCHU,Hetero,2,230801_0083,Tres Cruces,8/1/2023,0,S. simonsi,S. schulenbergi,4SC,6:44 AM,7:19 AM,Y,Y,N,Y,N,N,
SI101,SI101_AT,Hetero,3,230802_0086,Tres Cruces,8/2/2023,65,S. simonsi,S. atratus,2A,6:49 AM,7:22 AM,Y,N,Y,N,N,N,
SI101,SI101_PA,Hetero,4,Notes,Tres Cruces,8/3/2023,0,S. simonsi,S. parvirostris,6P,6:53 AM,7:23 AM,Y,N,N,N,Y,N,
SCHU101,SCHU101_SI,Hetero,1,230731_0079,Tres Cruces,7/31/2023,0,S. schulenbergi,S. simonsi,5SI,6:53 AM,7:26 AM,Y,N,Y,N,N,N,
SCHU101,SCHU101_SCHU,Con,2,230801_0083,Tres Cruces,8/1/2023,0,S. schulenbergi,S. schulenbergi,4SC,6:44 AM,7:19 AM,Y,Y,N,Y,Y,N,
SCHU101,SCHU101_AT,Hetero,3,230802_0086,Tres Cruces,8/2/2023,65,S. schulenbergi,S. atratus,2A,6:49 AM,7:22 AM,Y,Y,Y,Y,Y,Y,
SCHU101,SCHU101_PA,Hetero,4,Notes,Tres Cruces,8/3/2023,0,S. schulenbergi,S. parvirostris,6P,6:53 AM,7:23 AM,Y,N,N,Y,Y,N,
SI102,SI102_SCHU,Hetero,1,230731_0080,Tres Cruces,7/31/2023,0,S. simonsi,S. schulenbergi,3SC,7:49 AM,8:22 AM,N,N,N,N,N,N,
SI102,SI102_SI,Con,2,230802_0087,Tres Cruces,8/2/2023,50,S. simonsi,S. simonsi,4SI,7:42 AM,8:11 AM,Y,Y,Y,Y,Y,Y,
SI102,SI102_AT,Hetero,3,Notes,Tres Cruces,8/3/2023,90,S. simonsi,S. atratus,1A,7:37 AM,8:07 AM,N,N,N,N,N,N,
SCHU102,SCHU102_SI,Hetero,2,230802_0087,Tres Cruces,8/2/2023,50,S. schulenbergi,S. simonsi,4SI,7:42 AM,8:11 AM,Y,N,N,N,Y,N,
SCHU102,SCHU102_AT,Hetero,3,Notes,Tres Cruces,8/3/2023,90,S. schulenbergi,S. atratus,1A,7:37 AM,8:07 AM,Y,N,N,Y,N,N,
SI103,SI103_SI,Con,1,230731_0081,Tres Cruces,7/31/2023,0,S. simonsi,S. simonsi,3SI,8:37 AM,9:11 AM,Y,N,N,N,Y,N,
SI103,SI103_AT,Hetero,2,Notes,Tres Cruces,8/1/2023,98,S. simonsi,S. atratus,3A,8:25 AM,8:58 AM,N,N,N,N,N,N,
SI103,SI103_SCHU,Hetero,3,230802_0088,Tres Cruces,8/2/2023,60,S. simonsi,S. schulenbergi,2SC,8:28 AM,8:59 AM,N,N,N,N,N,N,
SI103,SI103_PA,Hetero,4,Notes,Tres Cruces,8/3/2023,NA,S. simonsi,S. parvirostris,4P,8:33 AM,9:06 AM,N,N,N,N,N,N,
SCHU103,SCHU103_SI,Hetero,1,230731_0081,Tres Cruces,7/31/2023,0,S. schulenbergi,S. simonsi,3SI,8:37 AM,9:11 AM,N,N,N,N,N,N,
SCHU103,SCHU103_AT,Hetero,2,Notes,Tres Cruces,8/1/2023,98,S. schulenbergi,S. atratus,3A,8:25 AM,8:58 AM,Y,Y,Y,N,Y,N,
SCHU103,SCHU103_SCHU,Con,3,230802_0088,Tres Cruces,8/2/2023,60,S. schulenbergi,S. schulenbergi,2SC,8:28 AM,8:59 AM,Y,Y,N,N,N,N,
SCHU103,SCHU103_PA,Hetero,4,Notes,Tres Cruces,8/3/2023,NA,S. schulenbergi,S. parvirostris,4P,8:33 AM,9:06 AM,N,N,N,N,N,N,
SI104,SI104_SCHU,Hetero,1,230731_0082,Tres Cruces,7/31/2023,50,S. simonsi,S. schulenbergi,2SC,9:28 AM,9:59 AM,N,N,N,N,N,N,
SI104,SI104_SI,Con,2,Notes,Tres Cruces,8/1/2023,85,S. simonsi,S. simonsi,1SI,9:09 AM,9:42 AM,Y,Y,Y,Y,Y,N,
SI104,SI104_PA,Hetero,3,230802_0089,Tres Cruces,8/2/2023,80,S. simonsi,S. parvirostris,2P,9:11 AM,9:36 AM,N,N,N,N,NF,N,
SI104,SI104_AT,Hetero,4,Notes,Tres Cruces,8/3/2023,98,S. simonsi,S. atratus,5A,9:12 AM,9:42 AM,N,N,N,N,N,N,
SCHU104,SCHU104_SCHU,Con,1,230731_0082,Tres Cruces,7/31/2023,50,S. schulenbergi,S. schulenbergi,2SC,9:28 AM,9:59 AM,Y,N,Y,N,N,N,
SCHU104,SCHU104_SI,Hetero,2,Notes,Tres Cruces,8/1/2023,85,S. schulenbergi,S. simonsi,1SI,9:09 AM,9:42 AM,Y,Y,N,N,N,N,
SCHU104,SCHU104_PA,Hetero,3,230802_0089,Tres Cruces,8/2/2023,80,S. schulenbergi,S. parvirostris,2P,9:11 AM,9:36 AM,N,N,N,N,NF,N,
SCHU104,SCHU104_AT,Hetero,4,Notes,Tres Cruces,8/3/2023,98,S. schulenbergi,S. atratus,5A,9:12 AM,9:42 AM,Y,Y,Y,Y,Y,N,
SI105,SI105_AT,Hetero,1,230801_0084,Tres Cruces,8/1/2023,35,S. simonsi,S. atratus,6A,3:11 PM,3:44 PM,Y,N,N,Y,N,N,
SI105,SI105_SCHU,Hetero,2,Notes,Tres Cruces,8/3/2023,100,S. simonsi,S. schulenbergi,1SC,2:47 PM,3:09 PM,N,N,N,N,NF,Y,
SI105,SI105_SI,Con,3,Notes,Tres Cruces,8/4/2023,100,S. simonsi,S. simonsi,4SI,2:27 PM,2:50 PM,N,N,N,N,NA,N,
SI106,SI106_PA,Hetero,1,230802_0085,Tres Cruces,8/2/2023,90,S. simonsi,S. parvirostris,1P,5:59 AM,6:37 AM,Y,Y,Y,N,Y,N,
SI106,SI106_SCHU,Hetero,2,Notes,Tres Cruces,8/3/2023,5,S. simonsi,S. schulenbergi,2SC,6:16 AM,6:46 AM,Y,Y,Y,Y,N,N,
SI106,SI106_SI,Con,3,Notes,Tres Cruces,8/4/2023,80,S. simonsi,S. simonsi,3SI,6:25 AM,6:58 AM,Y,N,N,Y,N,N,
SI106,SI106_AT,Hetero,4,Notes,Tres Cruces,8/5/2023,50,S. simonsi,S. atratus,6A,6:20 AM,6:53 AM,Y,Y,Y,N,Y,N,
SCHU106,SCHU106_PA,Hetero,1,230802_0085,Tres Cruces,8/2/2023,90,S. schulenbergi,S. parvirostris,1P,5:59 AM,6:37 AM,Y,N,Y,N,N,N,
SCHU106,SCHU106_SCHU,Con,2,Notes,Tres Cruces,8/3/2023,5,S. schulenbergi,S. schulenbergi,2SC,6:16 AM,6:46 AM,Y,Y,N,N,N,N,
SCHU106,SCHU106_SI,Hetero,3,Notes,Tres Cruces,8/4/2023,80,S. schulenbergi,S. simonsi,3SI,6:25 AM,6:58 AM,Y,Y,Y,Y,N,Y,
SCHU106,SCHU106_AT,Hetero,4,Notes,Tres Cruces,8/5/2023,50,S. schulenbergi,S. atratus,6A,6:20 AM,6:53 AM,N,N,N,N,N,N,
SI107,SI107_SCHU,Hetero,1,Notes,Tres Cruces,8/4/2023,90,S. simonsi,S. schulenbergi,2SC,7:58 AM,8:30 AM,Y,Y,N,N,Y,N,
SI107,SI107_AT,Hetero,2,Notes,Tres Cruces,8/5/2023,55,S. simonsi,S. atratus,1A,7:53 AM,8:23 AM,N,N,N,N,N,N,
SI107,SI107_SI,Con,3,Notes,Tres Cruces,8/6/2023,60,S. simonsi,S. simonsi,3SI,8:08 AM,8:39 AM,Y,Y,Y,Y,Y,N,
SI107,SI107_PA,Hetero,4,Notes,Tres Cruces,8/8/2023,70,S. simonsi,S. parvirostris,5P,8:08 AM,8:43 AM,Y,Y,N,N,Y,N,
SCHU107,SCHU107_SCHU,Con,1,Notes,Tres Cruces,8/4/2023,90,S. schulenbergi,S. schulenbergi,2SC,7:58 AM,8:30 AM,Y,N,N,Y,Y,N,
SCHU107,SCHU107_AT,Hetero,2,Notes,Tres Cruces,8/5/2023,55,S. schulenbergi,S. atratus,1A,7:53 AM,8:23 AM,Y,Y,Y,Y,N,Y,
SCHU107,SCHU107_SI,Hetero,3,Notes,Tres Cruces,8/6/2023,60,S. schulenbergi,S. simonsi,3SI,8:08 AM,8:39 AM,Y,Y,N,Y,Y,N,
SCHU107,SCHU107_PA,Hetero,4,Notes,Tres Cruces,8/8/2023,70,S. schulenbergi,S. parvirostris,5P,8:08 AM,8:43 AM,Y,N,N,N,Y,N,
SCHU108,SCHU108_AT,Hetero,1,Notes,Tres Cruces,8/4/2023,65,S. schulenbergi,S. atratus,5A,8:58 AM,9:20 AM,N,N,N,N,NF,N,
SCHU108,SCHU108_PA,Hetero,2,Notes,Tres Cruces,8/6/2023,65,S. schulenbergi,S. parvirostris,2P,8:55 AM,9:25 AM,Y,Y,Y,N,Y,N,
SCHU108,SCHU108_SI,Hetero,3,Notes,Tres Cruces,8/8/2023,100,S. schulenbergi,S. simonsi,2SI,8:57 AM,9:20 AM,N,N,N,N,NF,N,
SCHU108,SCHU108_SCHU,Con,4,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. schulenbergi,4SC,8:40 AM,9:13 AM,Y,N,N,Y,N,N,
SCHU109,SCHU109_AT,Hetero,1,Notes,Tres Cruces,8/6/2023,75,S. schulenbergi,S. atratus,3A,9:38 AM,10:08 AM,Y,Y,N,Y,Y,N,
SCHU109,SCHU109_PA,Hetero,2,Notes,Tres Cruces,8/8/2023,75,S. schulenbergi,S. parvirostris,3P,9:34 AM,10:04 AM,Y,N,Y,N,Y,N,
SCHU109,SCHU109_SCHU,Con,3,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. schulenbergi,2SC,9:44 AM,10:14 AM,Y,Y,N,Y,N,N,
SCHU110,SCHU110_SCHU,Con,1,Notes,Tres Cruces,8/5/2023,100,S. schulenbergi,S. schulenbergi,4SC,9:55 AM,10:26 AM,Y,Y,N,N,N,N,
SCHU110,SCHU110_SI,Hetero,2,Notes,Tres Cruces,8/6/2023,100,S. schulenbergi,S. simonsi,4SI,10:20 AM,10:51 AM,Y,N,N,Y,N,N,
SCHU110,SCHU110_AT,Hetero,3,Notes,Tres Cruces,8/8/2023,100,S. schulenbergi,S. atratus,1A,10:18 AM,10:48 AM,Y,Y,N,N,Y,N,
SCHU110,SCHU110_PA,Hetero,4,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. parvirostris,5P,10:26 AM,10:50 AM,N,N,N,N,NF,N,
SI111,SI111_PA,Hetero,1,Notes,Tres Cruces,8/5/2023,100,S. simonsi,S. parvirostris,3P,2:38 PM,3:01 PM,N,N,N,N,NF,N,
SI111,SI111_SCHU,Hetero,2,Notes,Tres Cruces,8/8/2023,70,S. simonsi,S. schulenbergi,3SC,2:32 PM,2:54 PM,N,N,N,N,NF,N,
SI111,SI111_SI,Con,3,Notes,Tres Cruces,8/12/2023,100,S. simonsi,S. simonsi,2SI,2:22 PM,2:51 PM,Y,Y,N,Y,NF,N,
SCHU112,SCHU112_SCHU,Con,3,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. schulenbergi,2SC,8:33 AM,8:56 AM,N,N,N,N,NA,N,"Upon return past point a few hours later, heard responding strongly..."
SCHU112,SCHU112_AT,Hetero,1,230810_0092 + Notes,Tres Cruces,8/10/2023,30,S. schulenbergi,S. atratus,5A,8:25 AM,8:56 AM,Y,Y,Y,Y,Y,Y,
SCHU112,SCHU112_SI,Hetero,2,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. simonsi,1SI,8:33 AM,9:05 AM,Y,Y,N,N,N,N,
SCHU112,SCHU112_PA,Hetero,4,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,1P,8:11 AM,8:34 AM,N,N,N,N,NF,N,
SCHU113,SCHU113_SI,Hetero,1,230810_0093,Tres Cruces,8/10/2023,100,S. schulenbergi,S. simonsi,4SI,9:13 AM,9:44 AM,Y,Y,Y,Y,Y,N,
SCHU113,SCHU113_AT,Hetero,2,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. atratus,6A,9:13 AM,9:48 AM,Y,Y,Y,N,N,N,
SCHU113,SCHU113_SCHU,Con,3,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. schulenbergi,1SC,9:12 AM,9:42 AM,Y,N,Y,N,Y,N,
SCHU113,SCHU113_PA,Hetero,4,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,4P,8:55 AM,9:19 AM,N,N,N,N,NF,N,
SI114,SI114_SI,Con,1,Notes,Tres Cruces,8/10/2023,0,S. simonsi,S. simonsi,6SI,6:55 AM,7:25 AM,Y,Y,N,N,N,N,
SI114,SI114_PA,Hetero,2,Notes,Tres Cruces,8/11/2023,80,S. simonsi,S. parvirostris,5P,7:00 AM,7:29 AM,N,N,N,N,N,N,
SI114,SI114_AT,Hetero,3,Notes,Tres Cruces,8/12/2023,50,S. simonsi,S. atratus,1A,6:54 AM,7:24 AM,Y,N,N,Y,N,N,
SI114,SI114_SCHU,Hetero,4,Notes,Tres Cruces,8/13/2023,50,S. simonsi,S. schulenbergi,2SC,6:54 AM,7:23 AM,Y,N,N,N,Y,N,
SCHU114,SCHU114_SI,Hetero,1,Notes,Tres Cruces,8/10/2023,0,S. schulenbergi,S. simonsi,6SI,6:55 AM,7:25 AM,Y,N,N,N,Y,N,
SCHU114,SCHU114_PA,Hetero,2,Notes,Tres Cruces,8/11/2023,80,S. schulenbergi,S. parvirostris,5P,7:00 AM,7:29 AM,Y,Y,Y,N,Y,N,
SCHU114,SCHU114_AT,Hetero,3,Notes,Tres Cruces,8/12/2023,50,S. schulenbergi,S. atratus,1A,6:54 AM,7:24 AM,Y,Y,Y,Y,Y,N,
SCHU114,SCHU114_SCHU,Con,4,Notes,Tres Cruces,8/13/2023,50,S. schulenbergi,S. schulenbergi,2SC,6:54 AM,7:23 AM,Y,Y,N,N,N,N,
SCHU115,SCHU115_SCHU,Con,1,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. schulenbergi,4SC,10:08 AM,10:38 AM,Y,N,Y,Y,Y,N,
SCHU115,SCHU115_SI,Hetero,2,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. simonsi,6SI,9:55 AM,10:25 AM,Y,Y,N,N,N,N,
SCHU115,SCHU115_PA,Hetero,3,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,3P,9:35 AM,10:06 AM,Y,Y,N,N,N,N,
SI116,SI116_SCHU,Hetero,1,Notes,Tres Cruces,8/6/2023,40,S. simonsi,S. schulenbergi,1SC,7:25 AM,7:55 AM,Y,N,N,Y,N,N,
SI116,SI116_AT,Hetero,2,Notes,Tres Cruces,8/8/2023,30,S. simonsi,S. atratus,5A,7:28 AM,7:58 AM,Y,N,N,Y,N,N,
SI116,SI116_PA,Hetero,3,Notes,Tres Cruces,8/9/2023,40,S. simonsi,S. parvirostris,3P,7:32 AM,8:02 AM,Y,Y,N,Y,N,N,
SCHU116,SCHU116_SCHU,Con,1,Notes,Tres Cruces,8/6/2023,40,S. schulenbergi,S. schulenbergi,1SC,7:25 AM,7:55 AM,Y,Y,N,N,N,N,
SCHU116,SCHU116_AT,Hetero,2,Notes,Tres Cruces,8/8/2023,30,S. schulenbergi,S. atratus,5A,7:28 AM,7:58 AM,Y,N,Y,N,Y,N,
SCHU116,SCHU116_PA,Hetero,3,Notes,Tres Cruces,8/9/2023,40,S. schulenbergi,S. parvirostris,3P,7:32 AM,8:02 AM,N,N,N,N,N,N,
