ID,Trial #,Audio File (if applicable),Location,Day of Trial,Conditions (CC %),Subject,Playback,Track #,Start Time,End Time,Response (Y/N),R1,R2,R3,R4
SCYPAR 101,4,230725_0077,Wayqecha,7/25/2023,50,S. parvirostris,S. simonsi,5,9:10 AM,9:35 AM,N,N,N,N,NA
SCYPAR 101,2,230721_0067,Wayqecha,7/21/2023,25,S. parvirostris,S. schulenbergi,1,9:15 AM,9:45 AM,Y,Y,N,N,N
SCYPAR 101,1,230720_0065,Wayqecha,7/20/2023,35,S. parvirostris,S. atratus,5,9:11 AM,9:36 AM,Y,Y,N,N,N
SCYPAR 101,3,230723_0071,Wayqecha,7/23/2023,20,S. parvirostris,S. parvirostris,1,9:15 AM,9:46 AM,Y,Y,Y,Y,Y
,,,,,,,,,,,,,,,
SCYPAR 102,2,230724_0075,Wayqecha,7/24/2023,5,S. parvirostris,S. atratus,5,9:52 AM,10:24 AM,Y,N,Y,Y,N
SCYPAR 102,3,230725_0078,Wayqecha,7/25/2023,60,S. parvirostris,S. schulenbergi ,1,9:41 AM,10:16 AM,Y,N,N,Y,N
SCYPAR 102,1,230723_0072,Wayqecha,7/23/2023,15,S. parvirostris,S. parvirostris,3,9:54 AM,10:25 AM,Y,Y,N,Y,Y
,,,,,,,,,,,,,,,
SCYPAR 104,3,230719_0060,Wayqecha,7/19/23,70,S. parvirostris,S. schulenbergi,4,6:11 AM,6:35 AM,N,N,N,N,NA
SCYPAR 104,2,Notes,Wayqecha,7/17/2023,10,S. parvirostris,S. atratus,5,6:16 AM,6:49 AM,Y,Y,N,Y,N
SCYPAR 104,1,Notes,Wayqecha,7/16/2023,0,S. parvirostris,S. parvirostris,4,6:12 AM,6:44 AM,Y,N,Y,N,Y
SCYPAR 104,4,230720_0064,Wayqecha,7/20/23,55,S. parvirostris,S. simonsi,3,6:19 AM,6:44 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCYPAR 105,3,230718_0058,Wayqecha,7/18/2023,100,S. parvirostris,S. atratus,3,8:04 AM,8:28 AM,N,N,N,N,NA
SCYPAR 105,4,230719_0061,Wayqecha,7/19/2023,50,S. parvirostris,S. parvirostris,6,8:04 AM,8:36 AM,Y,Y,N,Y,N
SCYPAR 105,1,230716 Notes,Wayqecha,7/16/2023,0,S. parvirostris,S. schulenbergi,3,8:37 AM,9:01 AM,N,N,N,N,NA
SCYPAR 105,2,230717 Notes,Wayqecha,7/17/2023,60,S. parvirostris,S. simonsi,6,8:43 AM,9:08 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCYPAR 106,3,230718_0059,Wayqecha,7/18/2023,100,S. parvirostris,S. parvirostris,4,8:48 AM,9:21 AM,Y,Y,Y,Y,N
SCYPAR 106,4,230719_0062,Wayqecha,7/19/2023,95,S. parvirostris,S. simonsi,1,8:48 AM,9:13 AM,N,N,N,N,NA
SCYPAR 106,1,Notes,Wayqecha,7/16/2023,0,S. parvirostris,S. atratus ,6,9:18 AM,9:45 AM,N,N,N,N,NA
SCYPAR 106,2,Notes,Wayqecha,7/17/2023,40,S. parvirostris,S. schulenbergi,1,9:23 AM,9:51 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCYPAR 114,4,Notes,Wayqecha,7/25/2023,55,S. parvirostris,S. simonsi,6,6:15 AM,6:47 AM,Y,N,Y,N,N
SCYPAR 114,2,230723_0069,Wayqecha,7/23/2023,100,S. parvirostris,S. schulenbergi,3,6:12 AM,6:44 AM,Y,Y,N,Y,N
SCYPAR 114,3,Notes,Wayqecha,7/24/2023,0,S. parvirostris,S. atratus,6,6:15 AM,6:45 AM,Y,N,Y,Y,N
SCYPAR 114,1,230722_0068,Wayqecha,7/22/2023,0,S. parvirostris,S. parvirostris,3,6:14 AM,6:48 AM,Y,Y,N,N,N
,,,,,,,,,,,,,,,
SCYPAR 113,1,Notes,Wayqecha,7/20/2023,85,S. parvirostris,S. parvirostris,7,9:10 AM,9:40 AM,Y,Y,Y,Y,Y
SCYPAR 113,2,Notes,Wayqecha,7/21/2023,0,S. parvirostris,S. simonsi,7,9:20 AM,9:50,N,N,N,N,N
SCYPAR 113,3,Notes,Wayqecha,7/23/23,0,S. parvirostris,S. atratus,7,9:24 AM,9:52 AM,Y,Y,N,N,N
SCYPAR 113,4,Notes,Wayqecha,7/24/23,0,S. parvirostris,S. schulenbergi,8,9:25 AM,9:46 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
SCYPAR 112,2,Notes,Wayqecha,7/21/23,20,S. parvirostris,S. schulenbergi,7,9:10 AM,9:40 AM,N,N,N,N,N
SCYPAR 112,1,Notes,Wayqecha,7/20/23,70,S. parvirostris,S. parvirostris,7,9:07 AM,9:31 AM,Y,Y,N,N,N