ID,Trial,Audio File (if applicable),Location,Day of Trial,Conditions (CC %),Subject,Playback,Track #,Start,End,Response,R1,R2,R3,R4
SCAT 101,1,230704_0011,San Pedro,7/4/2023,0,S. atratus,S. atratus,2,6:18 AM,6:41 AM,Y,Y,Y,Y,NA
SCAT 101,2,230706_0020,San Pedro,7/6/2023,0,S. atratus,S. parvirostris,2,6:11 AM,6:44 AM,Y,Y,N,N,Y
SCAT 101,3,230711_0049,San Pedro,7/11/2023,2,S. atratus,S. schulenbergi,1,6:10 AM,6:42 AM,Y,Y,Y,Y,Y
,,,,,,,,,,,,,,,
SCAT 102,1,230708_0030,San Pedro,7/8/2023,0,S. atratus,S. parvirostris,5,6:18 AM,6:52 AM,Y,Y,Y,Y,N
SCAT 102,2,230709_0038,San Pedro,7/9/2023,75,S. atratus,S. atratus,3,7:06 AM,7:37 AM,Y,Y,N,Y,Y
SCAT 102,3,230712_0054,San Pedro,7/12/2023,2,S. atratus,S. schulenbergi,1,6:10 AM,6:43 AM,Y,Y,N,Y,Y
,,,,,,,,,,,,,,,
SCAT 103,1,230704_0013,San Pedro,7/4/2023,0,S. atratus,S. atratus,4,6:52 AM,7:17 AM,Y,Y,N,Y,NA
SCAT 103,2,230706_0022,San Pedro,7/6/2023,15,S. atratus,S. parvirostris,1,6:53 AM,7:18 AM,N,N,N,N,NA
SCAT 103,3,230710_0044,San Pedro,7/10/2023,2,S. atratus,S. schulenbergi,2,6:41 AM,7:06 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCAT 104,1,230704_0014,San Pedro,7/4/2023,0,S. atratus,S. atratus,2,8:38 AM,9:08 AM,Y,N,N,Y,N
SCAT 104,2,230705_0018,San Pedro,7/5/2023,0,S. atratus,S. atratus,6,8:48 AM,9:19 AM,Y,Y,N,Y,N
SCAT 104,3,230707_0026,San Pedro,7/7/2023,0,S. atratus,S. parvirostris,1,6:26 AM,6:59,Y,Y,N,N,N
SCAT 104,4,230709_0040,San Pedro,7/9/2023,20,S. atratus,S. schulenbergi,4,8:36 AM,9:01 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCAT 117,1,230706_0024,San Pedro,7/6/2023,0,S. atratus,S. atratus,5,8:15 AM,8:48 AM,Y,Y,Y,Y,Y
SCAT 117,2,230708_0032,San Pedro,7/8/2023,0,S. atratus,S. parvirostris,3,9:01 AM,9:26 AM,N,N,N,N,NA
SCAT 117,3,230712_0056,San Pedro,7/12/2023,50,S. atratus,S. schulenbergi,2,8:32 AM,8:57 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
SCAT 110,3,Notes,San Pedro,7/13/2023,75,S. atratus,S. atratus,3,7:22 AM,7:43,N,N,N,N,NA
SCAT 110,1,230708_0031,San Pedro,7/8/2023,0,S. atratus,S. parvirostris,6,7:03 AM,7:29 AM,N,N,N,N,NA
SCAT 110,2,230712_0055,San Pedro,7/12/2023,50,S. atratus,S. schulenbergi,3,6:51 AM,7:19 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCAT 109,1,230708_0034,San Pedro,7/8/2023,75,S. atratus,S. atratus,5,2:19 PM,2:50 PM,Y,Y,N,Y,Y
SCAT 109,2,230709_0042,San Pedro,7/9/2023,85,S. atratus,S. parvirostris,4,1:57 PM,2:22 PM,N,N,N,N,NA
SCAT 109,3,230711_0053,San Pedro,7/11/2023,65,S. atratus,S. schulenbergi,3,1:39 PM,2:05 PM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCAT 115 ,3,230710_0048,San Pedro,7/10/2023,50,S. atratus,S. schulenbergi,3,2:33 PM,3:04 PM,Y,N,Y,N,N
SCAT 115,2,230707_0029,San Pedro,7/7/2023,75,S. atratus,S. parvirostris,5,2:06 PM,2:33 PM,N,N,N,N,NA
SCAT 115,1,230706_0025,San Pedro,7/6/2023,75,S. atratus,S. atratus,6,2:22 PM,2:56 PM,Y,Y,N,Y,Y
,,,,,,,,,,,,,,,
SCAT 106,,230707_0028,San Pedro,7/7/2023,0,S. atratus,S. parvirostris,3,8:23 AM,8:49 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCAT 119,1,Notes,San Pedro,7/9/2023,20,S. atratus,S. atratus,7,6:07 AM,6:33 AM,Y,Y,N,Y,N
SCAT 119,2,Notes,San Pedro,7/10/2023,0,S. atratus,S. parvirostris,7,6:33 AM,7:02 AM,N,N,N,N,N
SCAT 119,3,Notes,San Pedro,7/11/2023,25,S. atratus,S. schulenbergi,7,6:40 AM,7:10 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
SCAT 120,2,230710_0043,San Pedro,7/10/2023,5,S. atratus,S. parvirostris,5,6:13 AM,6:38 AM,N,N,N,N,NA
SCAT 120,1,Notes,San Pedro,7/9/2023,50,S. atratus,S. atratus,7,6:54 AM,7:20 AM,Y,Y,Y,N,Y
SCAT 120,3,230711_0051,San Pedro,7/11/2023,2,S. atratus,S. schulenbergi,4,6:48 AM,7:20 AM,Y,Y,N,N,N
,,,,,,,,,,,,,,,
SCYPAR 101,4,230725_0077,Wayqecha,7/25/2023,50,S. parvirostris,S. simonsi,5,9:10 AM,9:35 AM,N,N,N,N,NA
SCYPAR 101,2,230721_0067,Wayqecha,7/21/2023,25,S. parvirostris,S. schulenbergi,1,9:15 AM,9:45 AM,Y,Y,N,N,N
SCYPAR 101,1,230720_0065,Wayqecha,7/20/2023,35,S. parvirostris,S. atratus,5,9:11 AM,9:36 AM,Y,Y,N,N,N
SCYPAR 101,3,230723_0071,Wayqecha,7/23/2023,20,S. parvirostris,S. parvirostris,1,9:15 AM,9:46 AM,Y,Y,Y,Y,Y
,,,,,,,,,,,,,,,
SCYPAR 102,2,230724_0075,Wayqecha,7/24/2023,5,S. parvirostris,S. atratus,5,9:52 AM,10:24 AM,Y,N,Y,Y,N
SCYPAR 102,3,230725_0078,Wayqecha,7/25/2023,60,S. parvirostris,S. schulenbergi ,1,9:41 AM,10:16 AM,Y,N,N,Y,N
SCYPAR 102,1,230723_0072,Wayqecha,7/23/2023,15,S. parvirostris,S. parvirostris,3,9:54 AM,10:25 AM,Y,Y,N,Y,Y
,,,,,,,,,,,,,,,
SCYPAR 104,3,230719_0060,Wayqecha,7/19/2023,70,S. parvirostris,S. schulenbergi,4,6:11 AM,6:35 AM,N,N,N,N,NA
SCYPAR 104,2,Notes,Wayqecha,7/17/2023,10,S. parvirostris,S. atratus,5,6:16 AM,6:49 AM,Y,Y,N,Y,N
SCYPAR 104,1,Notes,Wayqecha,7/16/2023,0,S. parvirostris,S. parvirostris,4,6:12 AM,6:44 AM,Y,N,Y,N,Y
SCYPAR 104,4,230720_0064,Wayqecha,7/20/2023,55,S. parvirostris,S. simonsi,3,6:19 AM,6:44 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCYPAR 105,3,230718_0058,Wayqecha,7/18/2023,100,S. parvirostris,S. atratus,3,8:04 AM,8:28 AM,N,N,N,N,NA
SCYPAR 105,4,230719_0061,Wayqecha,7/19/2023,50,S. parvirostris,S. parvirostris,6,8:04 AM,8:36 AM,Y,Y,N,Y,N
SCYPAR 105,1,230716 Notes,Wayqecha,7/16/2023,0,S. parvirostris,S. schulenbergi,3,8:37 AM,9:01 AM,N,N,N,N,NA
SCYPAR 105,2,230717 Notes,Wayqecha,7/17/2023,60,S. parvirostris,S. simonsi,6,8:43 AM,9:08 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCYPAR 106,3,230718_0059,Wayqecha,7/18/2023,100,S. parvirostris,S. parvirostris,4,8:48 AM,9:21 AM,Y,Y,Y,Y,N
SCYPAR 106,4,230719_0062,Wayqecha,7/19/2023,95,S. parvirostris,S. simonsi,1,8:48 AM,9:13 AM,N,N,N,N,NA
SCYPAR 106,1,Notes,Wayqecha,7/16/2023,0,S. parvirostris,S. atratus ,6,9:18 AM,9:45 AM,N,N,N,N,NA
SCYPAR 106,2,Notes,Wayqecha,7/17/2023,40,S. parvirostris,S. schulenbergi,1,9:23 AM,9:51 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
SCYPAR 114,4,Notes,Wayqecha,7/25/2023,55,S. parvirostris,S. simonsi,6,6:15 AM,6:47 AM,Y,N,Y,N,N
SCYPAR 114,2,230723_0069,Wayqecha,7/23/2023,100,S. parvirostris,S. schulenbergi,3,6:12 AM,6:44 AM,Y,Y,N,Y,N
SCYPAR 114,3,Notes,Wayqecha,7/24/2023,0,S. parvirostris,S. atratus,6,6:15 AM,6:45 AM,Y,N,Y,Y,N
SCYPAR 114,1,230722_0068,Wayqecha,7/22/2023,0,S. parvirostris,S. parvirostris,3,6:14 AM,6:48 AM,Y,Y,N,N,N
,,,,,,,,,,,,,,,
SCYPAR 113,1,Notes,Wayqecha,7/20/2023,85,S. parvirostris,S. parvirostris,7,9:10 AM,9:40 AM,Y,Y,Y,Y,Y
SCYPAR 113,2,Notes,Wayqecha,7/21/2023,0,S. parvirostris,S. simonsi,7,9:20 AM,9:50,N,N,N,N,N
SCYPAR 113,3,Notes,Wayqecha,7/23/2023,0,S. parvirostris,S. atratus,7,9:24 AM,9:52 AM,Y,Y,N,N,N
SCYPAR 113,4,Notes,Wayqecha,7/24/2023,0,S. parvirostris,S. schulenbergi,8,9:25 AM,9:46 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
SCYPAR 112,2,Notes,Wayqecha,7/21/2023,20,S. parvirostris,S. schulenbergi,7,9:10 AM,9:40 AM,N,N,N,N,N
SCYPAR 112,1,Notes,Wayqecha,7/20/2023,70,S. parvirostris,S. parvirostris,7,9:07 AM,9:31 AM,Y,Y,N,N,N
,,,,,,,,,,,,,,,
Point 101A,1,230731_0079,Tres Cruces,7/31/2023,0,S. simonsi,S. simonsi,5,6:53 AM,7:26 AM,N,N,N,N,N
Point 101A + Video,2,230801_0083,Tres Cruces,8/1/2023,0,S. simonsi,S. schulenbergi,4,6:44 AM,7:19 AM,Y,Y,N,Y,N
Point 101A,3,230802_0086,Tres Cruces,8/2/2023,65,S. simonsi,S. atratus,2,6:49 AM,7:22 AM,Y,N,Y,N,N
Point 101A,4,Notes,Tres Cruces,8/3/2023,0,S. simonsi,S. parvirostris,6,6:53 AM,7:23 AM,Y,N,N,Y,Y
,,,,,,,,,,,,,,,
Point 101B,1,230731_0079,Tres Cruces,7/31/2023,0,S. schulenbergi,S. simonsi,5,6:53 AM,7:26 AM,Y,N,Y,N,N
Point 101B,2,230801_0083,Tres Cruces,8/1/2023,0,S. schulenbergi,S. schulenbergi,4,6:44 AM,7:19 AM,Y,Y,N,Y,Y
Point 101B,3,230802_0086,Tres Cruces,8/2/2023,65,S. schulenbergi,S. atratus,2,6:49 AM,7:22 AM,Y,Y,Y,Y,Y
,,,,,,,,,,,,,,,
Point 102A,1,230731_0080,Tres Cruces,7/31/2023,0,S. simonsi,S. schulenbergi,3,7:49 AM,8:22 AM,N,N,N,N,N
Point 102A,2,230802_0087,Tres Cruces,8/2/2023,50,S. simonsi,S. simonsi,4,7:42 AM,8:11 AM,Y,Y,Y,Y,Y
Point 102A,3,Notes,Tres Cruces,8/3/2023,90,S. simonsi,S. atratus,1,7:37 AM,8:07 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
Point 102B,1,230731_0080,Tres Cruces,7/31/2023,0,S. schulenbergi,S. schulenbergi,3,7:49 AM,8:22 AM,N,N,N,N,N
Point 102B,2,230802_0087,Tres Cruces,8/2/2023,50,S. schulenbergi,S. simonsi,4,7:42 AM,8:11 AM,Y,N,N,N,Y
Point 102B,3,Notes,Tres Cruces,8/3/2023,90,S. schulenbergi,S. atratus,1,7:37 AM,8:07 AM,Y,N,N,Y,N
,,,,,,,,,,,,,,,
Point 103A,1,230731_0081,Tres Cruces,7/31/2023,0,S. simonsi,S. simonsi,3,8:37 AM,9:11 AM,Y,N,N,N,Y
Point 103A,2,Notes,Tres Cruces,8/1/2023,98,S. simonsi,S. atratus,3,8:25 AM,8:58 AM,N,N,N,N,N
Point 103A,3,230802_0088,Tres Cruces,8/2/2023,60,S. simonsi,S. schulenbergi,2,8:28 AM,8:59 AM,N,N,N,N,N
Point 103A,4,Notes,Tres Cruces,8/3/2023,NA,S. simonsi,S. parvirostris,4,8:33 AM,9:06 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
Point 103B,1,230731_0081,Tres Cruces,7/31/2023,0,S. schulenbergi,S. simonsi,3,8:37 AM,9:11 AM,N,N,N,N,N
Point 103B,2,Notes,Tres Cruces,8/1/2023,98,S. schulenbergi,S. atratus,3,8:25 AM,8:58 AM,Y,Y,Y,N,Y
Point 103B,3,230802_0088,Tres Cruces,8/2/2023,60,S. schulenbergi,S. schulenbergi,2,8:28 AM,8:59 AM,Y,Y,N,N,N
Point 103B,4,Notes,Tres Cruces,8/3/2023,NA,S. schulenbergi,S. parvirostris,4,8:33 AM,9:06 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
Point 104A,1,230731_0082,Tres Cruces,7/31/2023,50,S. simonsi,S. schulenbergi,2,9:28 AM,9:59 AM,N,N,N,N,N
Point 104A,2,Notes,Tres Cruces,8/1/2023,85,S. simonsi,S. simonsi,1,9:09 AM,9:42 AM,Y,Y,Y,Y,Y
Point 104A,3,230802_0089,Tres Cruces,8/2/2023,80,S. simonsi,S. parvirostris,2,9:11 AM,9:36,N,N,N,N,NA
Point 104A,4,Notes,Tres Cruces,8/3/2023,98,S. simonsi,S. atratus,5,9:12 AM,9:42 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
Point 104B,1,230731_0082,Tres Cruces,7/31/2023,50,S. schulenbergi,S. schulenbergi,2,9:28 AM,9:59 AM,Y,N,Y,N,N
Point 104B,2,Notes,Tres Cruces,8/1/2023,85,S. schulenbergi,S. simonsi,1,9:09 AM,9:42 AM,Y,Y,N,N,N
Point 104B,3,230802_0089,Tres Cruces,8/2/2023,80,S. schulenbergi,S. parvirostris,2,9:11 AM,9:36,N,N,N,N,NA
Point 104B,4,Notes,Tres Cruces,8/3/2023,98,S. schulenbergi,S. atratus,5,9:12 AM,9:42 AM,Y,Y,Y,Y,Y
,,,,,,,,,,,,,,,
Point 105,1,230801_0084,Tres Cruces,8/1/2023,35,S. simonsi,S. atratus,6,3:11 PM,3:44 PM,Y,N,Y,Y,N
Point 105,2,Notes,Tres Cruces,8/3/2023,100,S. simonsi,S. schulenbergi,1,2:47 PM,3:09 PM,N,N,N,N,NA
Point 105,3,Notes,Tres Cruces,8/4/2023,100,S. simonsi,S. simonsi,4,2:27 PM,2:50 PM,N,N,N,N,NA
,,,,,,,,,,,,,,,
Point 106A,1,230802_0085,Tres Cruces,8/2/2023,90,S. simonsi,S. parvirostris,1,5:59 AM,6:37 AM,Y,Y,Y,N,Y
Point 106A,2,Notes,Tres Cruces,8/3/2023,5,S. simonsi,S. schulenbergi,2,6:16 AM,6:46 AM,Y,Y,Y,Y,N
Point 106A,3,Notes,Tres Cruces,8/4/2023,80,S. simonsi,S. simonsi,3,6:25 AM,6:58 AM,Y,NA,NA,Y,N
Point 106A,4,Notes,Tres Cruces,8/5/2023,50,S. simonsi,S. atratus,6,6:20 AM,6:53 AM,Y,Y,Y,N,Y
,,,,,,,,,,,,,,,
Point 106B,,230802_0085,Tres Cruces,8/2/2023,90,S. schulenbergi,S. parvirostris,1,5:59 AM,6:37 AM,Y,N,Y,N,N
Point 106B,,Notes,Tres Cruces,8/3/2023,5,S. schulenbergi,S. schulenbergi,2,6:16 AM,6:46 AM,N,N,N,N,N
Point 106B,,Notes,Tres Cruces,8/4/2023,80,S. schulenbergi,S. simonsi,3,6:25 AM,6:58 AM,Y,NA,NA,Y,N
Point 106B,,Notes,Tres Cruces,8/5/2023,50,S. schulenbergi,S. atratus,6,6:20 AM,6:53 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
Point 107A,1,Notes,Tres Cruces,8/4/2023,90,S. simonsi,S. schulenbergi,2,7:58 AM,8:30 AM,Y,Y,N,N,Y
Point 107A,2,Notes,Tres Cruces,8/5/2023,55,S. simonsi,S. atratus,1,7:53 AM,8:23 AM,N,N,N,N,N
Point 107A,3,Notes,Tres Cruces,8/6/2023,60,S. simonsi,S. simonsi,3,8:08 AM,8:39 AM,Y,Y,Y,Y,Y
Point 107A,4,Notes,Tres Cruces,8/8/2023,70,S. simonsi,S. parvirostris,5,8:08 AM,8:43 AM,Y,Y,N,N,Y
,,,,,,,,,,,,,,,
Point 107B,1,Notes,Tres Cruces,8/4/2023,90,S. schulenbergi,S. schulenbergi,2,7:58 AM,8:30 AM,Y,N,N,Y,Y
Point 107B,2,Notes,Tres Cruces,8/5/2023,55,S. schulenbergi,S. atratus,1,7:53 AM,8:23 AM,Y,Y,Y,Y,N
Point 107B,3,Notes,Tres Cruces,8/6/2023,60,S. schulenbergi,S. simonsi,3,8:08 AM,8:39 AM,Y,Y,N,Y,Y
Point 107B,4,Notes,Tres Cruces,8/8/2023,70,S. schulenbergi,S. parvirostris,5,8:08 AM,8:43 AM,Y,N,N,N,Y
,,,,,,,,,,,,,,,
Point 108,1,Notes,Tres Cruces,8/4/2023,65,S. schulenbergi,S. atratus,5,8:58 AM,9:20 AM,N,N,N,N,NA
Point 108,2,Notes,Tres Cruces,8/6/2023,65,S. schulenbergi,S. parvirostris,2,8:55 AM,9:25 AM,Y,Y,Y,N,Y
Point 108,3,Notes,Tres Cruces,8/8/2023,100,S. schulenbergi,S. simonsi,2,8:57 AM,9:20 AM,N,N,N,N,NA
Point 108,4,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. schulenbergi,4,8:40 AM,9:13 AM,Y,N,N,Y,N
,,,,,,,,,,,,,,,
Point 109,1,Notes,Tres Cruces,8/6/2023,75,S. schulenbergi,S. atratus,3,9:38 AM,10:08 AM,Y,Y,N,Y,Y
Point 109,2,Notes,Tres Cruces,8/8/2023,75,S. schulenbergi,S. parvirostris,3,9:34 AM,10:04 AM,Y,N,Y,N,Y
Point 109,3,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. schulenbergi,2,9:44 AM,10:14 AM,Y,Y,N,Y,N
,,,,,,,,,,,,,,,
Point 110,1,Notes,Tres Cruces,8/5/2023,100,S. schulenbergi,S. schulenbergi,4,9:55 AM,10:26 AM,Y,Y,N,N,N
Point 110,2,Notes,Tres Cruces,8/6/2023,100,S. schulenbergi,S. simonsi,4,10:20 AM,10:51 AM,Y,N,N,Y,N
Point 110,3,Notes,Tres Cruces,8/8/2023,100,S. schulenbergi,S. atratus,1,10:18 AM,10:48 AM,Y,Y,N,N,Y
Point 110,4,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. parvirostris,5,10:26 AM,10:50 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
Point 111,1,Notes,Tres Cruces,8/5/2023,100,S. simonsi,S. parvirostris,3,2:38 PM,3:01 PM,N,N,N,N,NA
Point 111,2,Notes,Tres Cruces,8/8/2023,70,S. simonsi,S. schulenbergi,3,2:32 PM,2:54 PM,N,N,N,N,NA
Point 111,3,Notes,Tres Cruces,8/12/2023,100,S. simonsi,S. simonsi,2,2:22 PM,2:51 PM,Y,Y,N,Y,NA
,,,,,,,,,,,,,,,
Point 112,1,Notes,Tres Cruces,8/10/2023,30,S. schulenbergi,S. atratus,5,8:25 AM,8:56 AM,Y,Y,Y,Y,Y
Point 112,2,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. simonsi,1,8:33 AM,9:05 AM,Y,Y,N,N,N
Point 112,3,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. schulenbergi,2,8:33 AM,8:56 AM,N,N,N,N,NA
Point 112,4,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,1,8:11 AM,8:34 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
Point 113,1,Notes,Tres Cruces,8/10/2023,100,S. schulenbergi,S. simonsi,4,9:13 AM,9:44 AM,Y,Y,Y,Y,Y
Point 113,2,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. atratus,6,9:13 AM,9:48 AM,Y,Y,Y,N,N
Point 113,3,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. schulenbergi,1,9:12 AM,9:42 AM,Y,N,Y,N,Y
Point 113,4,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,4,8:55 AM,9:19 AM,N,N,N,N,NA
,,,,,,,,,,,,,,,
Point 114A,1,Notes,Tres Cruces,8/10/2023,0,S. simonsi,S. simonsi,6,6:55 AM,7:25 AM,Y,Y,N,N,N
Point 114A,2,Notes,Tres Cruces,8/11/2023,80,S. simonsi,S. parvirostris,5,7:00 AM,7:29 AM,N,N,N,N,N
Point 114A,3,Notes,Tres Cruces,8/12/2023,50,S. simonsi,S. atratus,1,6:54 AM,7:24 AM,Y,N,N,Y,N
Point 114A,4,Notes,Tres Cruces,8/13/2023,50,S. simonsi,S. schulenbergi,2,6:54 AM,7:23 AM,Y,N,N,N,Y
,,,,,,,,,,,,,,,
Point 114B,1,Notes,Tres Cruces,8/10/2023,0,S. schulenbergi,S. simonsi,6,6:55 AM,7:25 AM,Y,N,N,N,Y
Point 114B,2,Notes,Tres Cruces,8/11/2023,80,S. schulenbergi,S. parvirostris,5,7:00 AM,7:29 AM,Y,Y,Y,N,Y
Point 114B,3,Notes,Tres Cruces,8/12/2023,50,S. schulenbergi,S. atratus,1,6:54 AM,7:24 AM,Y,Y,Y,Y,Y
Point 114B,4,Notes,Tres Cruces,8/13/2023,50,S. schulenbergi,S. schulenbergi,2,6:54 AM,7:23 AM,Y,Y,N,N,N
,,,,,,,,,,,,,,,
Point 115,1,Notes,Tres Cruces,8/11/2023,100,S. schulenbergi,S. schulenbergi,4,10:08 AM,10:38 AM,Y,N,Y,Y,Y
Point 115,2,Notes,Tres Cruces,8/12/2023,100,S. schulenbergi,S. simonsi,6,9:55 AM,10:25 AM,Y,Y,N,N,N
Point 115,3,Notes,Tres Cruces,8/13/2023,100,S. schulenbergi,S. parvirostris,3,9:35 AM,10:06 AM,Y,Y,N,N,N
,,,,,,,,,,,,,,,
Point 116A,1,Notes,Tres Cruces,8/6/2023,40,S. simonsi,S. schulenbergi,1,7:25 AM,7:55 AM,Y,N,N,Y,N
Point 116A,2,Notes,Tres Cruces,8/8/2023,30,S. simonsi,S. atratus,5,7:28 AM,7:58 AM,Y,N,N,Y,N
Point 116A,3,Notes,Tres Cruces,8/9/2023,40,S. simonsi,S. parvirostris,3,7:32 AM,8:02 AM,Y,Y,N,Y,N
,,,,,,,,,,,,,,,
Point 116B,1,Notes,Tres Cruces,8/6/2023,40,S. schulenbergi,S. schulenbergi,1,7:25 AM,7:55 AM,Y,Y,N,N,N
Point 116B,2,Notes,Tres Cruces,8/8/2023,30,S. schulenbergi,S. atratus,5,7:28 AM,7:58 AM,Y,N,Y,N,Y
Point 116B,3,Notes,Tres Cruces,8/9/2023,40,S. schulenbergi,S. parvirostris,3,7:32 AM,8:02 AM,N,N,N,N,N
